Final.depth_m,Grayscale
131.2840694002 ,120.7333
131.2843002402 ,93.2
131.2845310802 ,95.0133
131.2847619202 ,109.24
131.2849927602 ,101.36
131.2852236002 ,91.3333
131.2854544402 ,86.2933
131.2856852802 ,90.36
131.2859161202 ,98
131.2861469602 ,96.5467
131.2863778002 ,109.92
131.2866086402 ,98.6533
131.2868394802 ,97.6533
131.2870703202 ,101.32
131.2873011602 ,99.9333
131.2875320002 ,105.8267
131.2877628402 ,157.2
131.2879936802 ,151.96
131.2882245202 ,125.56
131.2884553602 ,137.92
131.2886862002 ,139.84
131.2889170402 ,155.2533
131.2891478802 ,190.6533
131.2893787202 ,202.52
131.2896095602 ,200.2
131.2898404002 ,194.4933
131.2900712402 ,197.0667
131.2903020802 ,201.88
131.2905329202 ,196.44
131.2907637602 ,195.2267
131.2909946002 ,195.1067
131.2912254402 ,197.72
131.2914562802 ,202.24
131.2916871202 ,207.4133
131.2919179602 ,205.7867
131.2921488002 ,160.28
131.2923796402 ,66.5067
131.2926104802 ,74.16
131.2928413202 ,101.3333
131.2930721602 ,138.4533
131.2933030002 ,142.1733
131.2935338402 ,129.08
131.2937646802 ,139.9867
131.2939955202 ,134.2267
131.2942263602 ,143.36
131.2944572002 ,142.56
131.2946880402 ,112.92
131.2949188802 ,106.6533
131.2951497202 ,122.3733
131.2953805602 ,118.52
131.2956114002 ,105.1333
131.2958422402 ,113.1733
131.2960730802 ,131.0133
131.2963039202 ,154.08
131.2965347602 ,144.3733
131.2967656002 ,90.0933
131.2969964402 ,72.8533
131.2972272802 ,92.2133
131.2974581202 ,114.92
131.2976889602 ,128.08
131.2979198002 ,122.0267
131.2981506402 ,141.4533
131.2983814802 ,173.96
131.2986123202 ,185.76
131.2988431602 ,165.44
131.2990740002 ,139.8667
131.2993048402 ,164.2267
131.2995356802 ,179.2933
131.2997665202 ,164.72
131.2999973602 ,144.96
131.3002282002 ,97.4133
131.3004590402 ,85.92
131.3006898802 ,114.3333
131.3009207202 ,127.0533
131.3011515602 ,120.6133
131.3013824002 ,116.6933
131.3016132402 ,136.2133
131.3018440802 ,166.88
131.3020749202 ,167.9467
131.3023057602 ,153.1867
131.3025366002 ,155.7067
131.3027674402 ,173.9333
131.3029982802 ,178.6
131.3032291202 ,168.9467
131.3034599602 ,173.96
131.3036908002 ,195.9333
131.3039216402 ,204.1333
131.3041524802 ,183.1333
131.3043833202 ,116.6
131.3046141602 ,67.7467
131.3048450002 ,65
131.3050758402 ,72.1867
131.3053066802 ,109.24
131.3055375202 ,142.3333
131.3057683602 ,144.04
131.3059992002 ,134.96
131.3062300402 ,115.96
131.3064608802 ,98.36
131.3066917202 ,106.9333
131.3069225602 ,151.6
131.3071534002 ,186.0933
131.3073842402 ,188.4
131.3076150802 ,157.7067
131.3078459202 ,110.0533
131.3080767602 ,100.3333
131.3083076002 ,100.4933
131.3085384402 ,70.2
131.3087692802 ,55.3733
131.3090001202 ,69.96
131.3092309602 ,74.6667
131.3094618002 ,71.0667
131.3096926402 ,67.3333
131.3099234802 ,60.32
131.3101543202 ,60.5733
131.3103851602 ,68.4267
131.3106160002 ,119.8133
131.3108468402 ,160.2933
131.3110776802 ,168.44
131.3113085202 ,107.7067
131.3115393602 ,54.36
131.3117702002 ,77.68
131.3120010402 ,109.68
131.3122318802 ,114
131.3124627202 ,112.0133
131.3126935602 ,107.52
131.3129244002 ,96.32
131.3131552402 ,95.36
131.3133860802 ,84.52
131.3136169202 ,68.7733
131.3138477602 ,95.6667
131.3140786002 ,126.72
131.3143094402 ,128.4533
131.3145402802 ,125.7733
131.3147711202 ,114.3733
131.3150019602 ,102.64
131.3152328002 ,84.1733
131.3154636402 ,69.0933
131.3156944802 ,90.7467
131.3159253202 ,119.7333
131.3161561602 ,129.5467
131.3163870002 ,132.9333
131.3166178402 ,125.56
131.3168486802 ,93.6533
131.3170795202 ,92.4267
131.3173103602 ,117.24
131.3175412002 ,130.56
131.3177720402 ,127.6
131.3180028802 ,137.2667
131.3182337202 ,143.5067
131.3184645602 ,101.7467
131.3186954002 ,54.4
131.3189262402 ,55.92
131.3191570802 ,53.5333
131.3193879202 ,56.5333
131.3196187602 ,69.7467
131.3198496002 ,81.88
131.3200804402 ,85.8267
131.3203112802 ,78.16
131.3205421202 ,72
131.3207729602 ,81.1867
131.3210038002 ,87.1867
131.3212346402 ,68.4933
131.3214654802 ,67.2267
131.3216963202 ,74.44
131.3219271602 ,74.04
131.3221580002 ,69.0133
131.3223888402 ,74.44
131.3226196802 ,82.2533
131.3228505202 ,92.8933
131.3230813602 ,91.32
131.3233122002 ,80.4
131.3235430402 ,76.6133
131.3237738802 ,70.3733
131.3240047202 ,75.24
131.3242355602 ,70.3733
131.3244664002 ,72.7867
131.3246972402 ,84.2667
131.3249280802 ,89.3333
131.3251589202 ,85.3067
131.3253897602 ,70.4933
131.3256206002 ,60.3467
131.3258514402 ,59.04
131.3260822802 ,64.1867
131.3263131202 ,68.1867
131.3265439602 ,66.0933
131.3267748002 ,63.6267
131.3270056402 ,63.8267
131.3272364802 ,64.48
131.3274673202 ,69.88
131.3276981602 ,71.3733
131.3279290002 ,63.4667
131.3281598402 ,65.7867
131.3283906802 ,89.5867
131.3286215202 ,115.9867
131.3288523602 ,128.9867
131.3290832002 ,127.32
131.3293140402 ,117.72
131.3295448802 ,127.7333
131.3297757202 ,137.0267
131.3300065602 ,141.2267
131.3302374002 ,124.88
131.3304682402 ,100.6133
131.3306990802 ,76.48
131.3309299202 ,67.3867
131.3311607602 ,68.0267
131.3313916002 ,82.08
131.3316224402 ,90.3867
131.3318532802 ,90.0667
131.3320841202 ,82.2533
131.3323149602 ,72.88
131.3325458002 ,64.5733
131.3327766402 ,64.28
131.3330074802 ,63.6667
131.3332383202 ,61.64
131.3334691602 ,75.6267
131.3337000002 ,100.2
131.3339308402 ,87.04
131.3341616802 ,74.84
131.3343925202 ,104.5067
131.3346233602 ,140.6133
131.3348542002 ,128.0267
131.3350850402 ,114.6133
131.3353158802 ,95.16
131.3355467202 ,89.36
131.3357775602 ,100.6667
131.3360084002 ,92.6133
131.3362392402 ,80.32
131.3364700802 ,67.4533
131.3367009202 ,57.7333
131.3369317602 ,59.9067
131.3371626002 ,60.9733
131.3373934402 ,50.8267
131.3376242802 ,65.4533
