Final.depth_m,Grayscale
129.4172663202 ,124.44
129.4174971602 ,128.8667
129.4177280002 ,136.6
129.4179588402 ,163.0533
129.4181896802 ,176.96
129.4184205202 ,176.3867
129.4186513602 ,172.6933
129.4188822002 ,152.28
129.4191130402 ,141.2533
129.4193438802 ,118.7067
129.4195747202 ,119.7733
129.4198055602 ,149.9067
129.4200364002 ,173.8533
129.4202672402 ,179.64
129.4204980802 ,185.4
129.4207289202 ,146.7733
129.4209597602 ,85.3067
129.4211906002 ,59.3067
129.4214214402 ,86.2667
129.4216522802 ,120.5733
129.4218831202 ,105.0533
129.4221139602 ,117.56
129.4223448002 ,94.6533
129.4225756402 ,77.3467
129.4228064802 ,64.1067
129.4230373202 ,50.9733
129.4232681602 ,76.8533
129.4234990002 ,105.0933
129.4237298402 ,67.28
129.4239606802 ,46.2533
129.4241915202 ,70.5467
129.4244223602 ,135.6133
129.4246532002 ,168.68
129.4248840402 ,149.8267
129.4251148802 ,78.8933
129.4253457202 ,112.1733
129.4255765602 ,156.4
129.4258074002 ,109.3067
129.4260382402 ,39.1867
129.4262690802 ,75.0533
129.4264999202 ,87.3333
129.4267307602 ,87.1467
129.4269616002 ,63.44
129.4271924402 ,47.28
129.4274232802 ,97.68
129.4276541202 ,141.84
129.4278849602 ,129.4667
129.4281158002 ,164.4933
129.4283466402 ,107.4933
129.4285774802 ,128.3067
129.4288083202 ,216.9333
129.4290391602 ,167.4267
129.4292700002 ,38.7067
129.4295008402 ,38.56
129.4297316802 ,69.8667
129.4299625202 ,89
129.4301933602 ,62.2133
129.4304242002 ,44.48
129.4306550402 ,68.32
129.4308858802 ,139.36
129.4311167202 ,155.0533
129.4313475602 ,164.5467
129.4315784002 ,118.4533
129.4318092402 ,29.4933
129.4320400802 ,38.5333
129.4322709202 ,56.0267
129.4325017602 ,65.8667
129.4327326002 ,73.2533
129.4329634402 ,106.9733
129.4331942802 ,127.7067
129.4334251202 ,81.04
129.4336559602 ,51.8267
129.4338868002 ,66.7867
129.4341176402 ,69.5067
129.4343484802 ,71.2133
129.4345793202 ,97.1733
129.4348101602 ,127.3867
129.4350410002 ,90.7467
129.4352718402 ,62
129.4355026802 ,59.7067
129.4357335202 ,52.0133
129.4359643602 ,55.4133
129.4361952002 ,46.6267
129.4364260402 ,76.8
129.4366568802 ,186.3867
129.4368877202 ,180.3067
129.4371185602 ,80.1867
129.4373494002 ,33.7333
129.4375802402 ,43.12
129.4378110802 ,54.1333
129.4380419202 ,73.2933
129.4382727602 ,78.36
129.4385036002 ,55.36
129.4387344402 ,49.4
129.4389652802 ,47.4
129.4391961202 ,41.68
129.4394269602 ,73.9867
129.4396578002 ,153
129.4398886402 ,131.3333
129.4401194802 ,29.4533
129.4403503202 ,63.3867
129.4405811602 ,172.36
129.4408120002 ,130.8667
129.4410428402 ,42.56
129.4412736802 ,116.48
129.4415045202 ,96.1467
129.4417353602 ,120.4
129.4419662002 ,172.8133
129.4421970402 ,113.9467
129.4424278802 ,36.48
129.4426587202 ,28.92
129.4428895602 ,56.24
129.4431204002 ,124.28
129.4433512402 ,99.0133
129.4435820802 ,38.9333
129.4438129202 ,32.7067
129.4440437602 ,48.7467
129.4442746002 ,63.2
129.4445054402 ,80.96
129.4447362802 ,86.6667
129.4449671202 ,69.3467
129.4451979602 ,46.0933
129.4454288002 ,35.7333
129.4456596402 ,40.6
129.4458904802 ,61.0267
129.4461213202 ,74.8533
129.4463521602 ,55.1733
129.4465830002 ,64.9333
129.4468138402 ,81.16
129.4470446802 ,57.8133
129.4472755202 ,34.68
129.4475063602 ,46.3333
129.4477372002 ,54.1067
129.4479680402 ,48.1067
129.4481988802 ,62.9067
129.4484297202 ,65.8533
129.4486605602 ,50.1867
129.4488914002 ,57.32
129.4491222402 ,62.9467
129.4493530802 ,110.0933
129.4495839202 ,154.3333
129.4498147602 ,105.9733
129.4500456002 ,50.84
129.4502764402 ,49.0267
129.4505072802 ,101.6133
129.4507381202 ,60.9867
129.4509689602 ,49.84
129.4511998002 ,76.6667
129.4514306402 ,62.24
129.4516614802 ,37.2933
129.4518923202 ,31.9333
129.4521231602 ,28.5467
129.4523540002 ,73.4533
129.4525848402 ,196.0533
129.4528156802 ,153.4667
129.4530465202 ,40.28
129.4532773602 ,62.1067
129.4535082002 ,41.52
129.4537390402 ,43.9067
129.4539698802 ,44.48
129.4542007202 ,49.3733
129.4544315602 ,53.08
129.4546624002 ,58.4
129.4548932402 ,54.8267
129.4551240802 ,55
129.4553549202 ,58.2
129.4555857602 ,51.2267
129.4558166002 ,45.9467
129.4560474402 ,52.2933
129.4562782802 ,53.8267
129.4565091202 ,53.8933
129.4567399602 ,56.0267
129.4569708002 ,84.6933
129.4572016402 ,73.4533
129.4574324802 ,56.04
129.4576633202 ,53.92
129.4578941602 ,68.64
129.4581250002 ,163.0133
129.4583558402 ,127.9067
129.4585866802 ,42.1733
129.4588175202 ,85.64
129.4590483602 ,123.88
129.4592792002 ,128.8267
129.4595100402 ,134.5467
129.4597408802 ,99.7867
129.4599717202 ,37.6267
129.4602025602 ,50.2133
129.4604334002 ,72.6933
129.4606642402 ,73.36
129.4608950802 ,44.76
129.4611259202 ,41.8133
129.4613567602 ,67.4933
129.4615876002 ,76.6533
129.4618184402 ,79.2
129.4620492802 ,65.56
129.4622801202 ,49.8
129.4625109602 ,44.3067
129.4627418002 ,47.1067
129.4629726402 ,71.4933
129.4632034802 ,84.1333
129.4634343202 ,61.7733
129.4636651602 ,43.3467
129.4638960002 ,56.72
129.4641268402 ,55.24
129.4643576802 ,49.72
129.4645885202 ,64.8533
129.4648193602 ,61.16
129.4650502002 ,61.3733
129.4652810402 ,76.5333
129.4655118802 ,63.4133
129.4657427202 ,50.8133
129.4659735602 ,44.6933
129.4662044002 ,60.8533
129.4664352402 ,150.96
129.4666660802 ,192.2533
129.4668969202 ,150.3867
129.4671277602 ,156.3467
129.4673586002 ,131.8
129.4675894402 ,47.2533
129.4678202802 ,64.8267
129.4680511202 ,70.3733
129.4682819602 ,58.88
129.4685128002 ,56.5867
129.4687436402 ,55.84
129.4689744802 ,52.9733
129.4692053202 ,53.32
129.4694361602 ,66.5333
129.4696670002 ,76.5733
129.4698978402 ,79.72
