Final.depth_m,Grayscale
130.5677728802 ,129.1733
130.5680037202 ,132.0533
130.5682345602 ,126.72
130.5684654002 ,124.0667
130.5686962402 ,119.1333
130.5689270802 ,121.28
130.5691579202 ,131.4533
130.5693887602 ,122.8133
130.5696196002 ,115.7333
130.5698504402 ,119.32
130.5700812802 ,120.3733
130.5703121202 ,130.4133
130.5705429602 ,136.28
130.5707738002 ,131.6667
130.5710046402 ,128.84
130.5712354802 ,128.4933
130.5714663202 ,126.7867
130.5716971602 ,119.08
130.5719280002 ,113.72
130.5721588402 ,116.6533
130.5723896802 ,126.12
130.5726205202 ,131.12
130.5728513602 ,122.52
130.5730822002 ,121.28
130.5733130402 ,136.7067
130.5735438802 ,160.88
130.5737747202 ,164.2667
130.5740055602 ,144.1067
130.5742364002 ,122.1333
130.5744672402 ,102.36
130.5746980802 ,94.0933
130.5749289202 ,124.6533
130.5751597602 ,155.6933
130.5753906002 ,142.6
130.5756214402 ,107.9333
130.5758522802 ,90.8933
130.5760831202 ,108.24
130.5763139602 ,152.36
130.5765448002 ,196.36
130.5767756402 ,165.2133
130.5770064802 ,86.4
130.5772373202 ,80.44
130.5774681602 ,82.7733
130.5776990002 ,80.2533
130.5779298402 ,94.2267
130.5781606802 ,103.72
130.5783915202 ,99.8667
130.5786223602 ,93.2267
130.5788532002 ,92.0267
130.5790840402 ,92.48
130.5793148802 ,107.24
130.5795457202 ,126.76
130.5797765602 ,121.0133
130.5800074002 ,100.2533
130.5802382402 ,107.1333
130.5804690802 ,131.8267
130.5806999202 ,147.7067
130.5809307602 ,123.8
130.5811616002 ,103.24
130.5813924402 ,111.56
130.5816232802 ,135.0133
130.5818541202 ,141.6267
130.5820849602 ,129.7067
130.5823158002 ,94.04
130.5825466402 ,67.9067
130.5827774802 ,82.2933
130.5830083202 ,95.8933
130.5832391602 ,85.1333
130.5834700002 ,74.92
130.5837008402 ,83.32
130.5839316802 ,102.84
130.5841625202 ,110.24
130.5843933602 ,99.12
130.5846242002 ,121.68
130.5848550402 ,131.6667
130.5850858802 ,122.5733
130.5853167202 ,112.6
130.5855475602 ,131.1333
130.5857784002 ,178.4667
130.5860092402 ,170.4
130.5862400802 ,107.5467
130.5864709202 ,78.8267
130.5867017602 ,101.9467
130.5869326002 ,109.9333
130.5871634402 ,98.5067
130.5873942802 ,110.2933
130.5876251202 ,113.1867
130.5878559602 ,94.4133
130.5880868002 ,88.96
130.5883176402 ,114.36
130.5885484802 ,161.8267
130.5887793202 ,179.7333
130.5890101602 ,140.6533
130.5892410002 ,151.7733
130.5894718402 ,199.7467
130.5897026802 ,162.6133
130.5899335202 ,106.1467
130.5901643602 ,87.2133
130.5903952002 ,71.24
130.5906260402 ,77.8133
130.5908568802 ,75.48
130.5910877202 ,78.8533
130.5913185602 ,59.3733
130.5915494002 ,87.8267
130.5917802402 ,163.4533
130.5920110802 ,147.68
130.5922419202 ,79.28
130.5924727602 ,70.8667
130.5927036002 ,88.8
130.5929344402 ,73.32
130.5931652802 ,58.92
130.5933961202 ,59.5867
130.5936269602 ,75.56
130.5938578002 ,110.5867
130.5940886402 ,111.32
130.5943194802 ,78.56
130.5945503202 ,81.1867
130.5947811602 ,83.3867
130.5950120002 ,79.24
130.5952428402 ,77.68
130.5954736802 ,69.7467
130.5957045202 ,57.2533
130.5959353602 ,66.2533
130.5961662002 ,115.72
130.5963970402 ,163.1067
130.5966278802 ,153.4533
130.5968587202 ,118.7733
130.5970895602 ,123.7067
130.5973204002 ,156.2133
130.5975512402 ,124.6
130.5977820802 ,85.3733
130.5980129202 ,80.5467
130.5982437602 ,94.9333
130.5984746002 ,92.6667
130.5987054402 ,76.3867
130.5989362802 ,77.7733
130.5991671202 ,99.2
130.5993979602 ,114.3333
130.5996288002 ,107.8533
130.5998596402 ,115.24
130.6000904802 ,137.4133
130.6003213202 ,120.9067
130.6005521602 ,106.0667
130.6007830002 ,102.9467
130.6010138402 ,99.6533
130.6012446802 ,98.64
130.6014755202 ,105.0133
130.6017063602 ,107.3333
130.6019372002 ,103.44
130.6021680402 ,126.4
130.6023988802 ,141.52
130.6026297202 ,131.4267
130.6028605602 ,149.52
130.6030914002 ,160.4667
130.6033222402 ,111.36
130.6035530802 ,57.1867
130.6037839202 ,59.4533
130.6040147602 ,69.16
130.6042456002 ,75.7467
130.6044764402 ,80.76
130.6047072802 ,80.52
130.6049381202 ,78.9333
130.6051689602 ,75.8667
130.6053998002 ,76.5467
130.6056306402 ,79.4533
130.6058614802 ,78.2933
130.6060923202 ,70.4933
130.6063231602 ,103.4533
130.6065540002 ,191.7333
130.6067848402 ,229.0133
130.6070156802 ,218.2133
130.6072465202 ,157.6
130.6074773602 ,78.8533
130.6077082002 ,74.9867
130.6079390402 ,98.4133
130.6081698802 ,110.28
130.6084007202 ,97.92
130.6086315602 ,69.6133
130.6088624002 ,85
130.6090932402 ,108.7467
130.6093240802 ,88.2267
130.6095549202 ,70.36
130.6097857602 ,72.6533
130.6100166002 ,77.08
130.6102474402 ,76.9733
130.6104782802 ,88.0933
130.6107091202 ,93.8267
130.6109399602 ,91.92
130.6111708002 ,95.12
130.6114016402 ,93.6933
130.6116324802 ,84.7333
130.6118633202 ,76.68
130.6120941602 ,75.5067
130.6123250002 ,76.0933
130.6125558402 ,80.4933
130.6127866802 ,101.2133
130.6130175202 ,119.88
130.6132483602 ,123.16
130.6134792002 ,111.8
130.6137100402 ,87.0667
130.6139408802 ,89.6133
130.6141717202 ,109.0267
130.6144025602 ,106.5733
130.6146334002 ,121.7867
130.6148642402 ,129.9867
130.6150950802 ,100.72
130.6153259202 ,75.8933
130.6155567602 ,78.2667
130.6157876002 ,68.7867
130.6160184402 ,60.8667
130.6162492802 ,63.72
130.6164801202 ,64.0533
130.6167109602 ,64.7467
130.6169418002 ,65.5733
130.6171726402 ,76.4267
130.6174034802 ,96.5067
130.6176343202 ,89.0533
130.6178651602 ,84.44
130.6180960002 ,134.8533
130.6183268402 ,195.4533
130.6185576802 ,170.68
130.6187885202 ,92.2
130.6190193602 ,54.4133
130.6192502002 ,63.3067
130.6194810402 ,65.8133
130.6197118802 ,68.5067
130.6199427202 ,71.64
130.6201735602 ,75.24
130.6204044002 ,84.0533
130.6206352402 ,95.5467
130.6208660802 ,82.68
130.6210969202 ,78.08
130.6213277602 ,77.12
130.6215586002 ,81.4667
130.6217894402 ,91.9067
130.6220202802 ,89.5333
130.6222511202 ,102.0267
130.6224819602 ,96.28
130.6227128002 ,79.32
130.6229436402 ,84.6667
130.6231744802 ,115.4933
130.6234053202 ,122.16
130.6236361602 ,108.4533
130.6238670002 ,146.9467
130.6240978402 ,150.2267
130.6243286802 ,147.4533
130.6245595202 ,139.0133
130.6247903602 ,70.6933
130.6250212002 ,62.3733
130.6252520402 ,119.0267
130.6254828802 ,152.0933
130.6257137202 ,166.8133
130.6259445602 ,183.0667
130.6261754002 ,164.8267
130.6264062402 ,89.1467
130.6266370802 ,87.8667
130.6268679202 ,161.1867
130.6270987602 ,155.3333
130.6273296002 ,131.2
130.6275604402 ,127.4933
