Final.depth_m,Grayscale
129.8967210002 ,98.2933
129.8969518402 ,100.9733
129.8971826802 ,144.36
129.8974135202 ,184.5867
129.8976443602 ,185.6933
129.8978752002 ,158.8933
129.8981060402 ,132.2
129.8983368802 ,106.8
129.8985677202 ,109.6267
129.8987985602 ,164.4
129.8990294002 ,169.8
129.8992602402 ,115.2133
129.8994910802 ,72.4267
129.8997219202 ,69.6667
129.8999527602 ,81.96
129.9001836002 ,82.2267
129.9004144402 ,82.6533
129.9006452802 ,90.3867
129.9008761202 ,87.72
129.9011069602 ,86.2267
129.9013378002 ,85.2533
129.9015686402 ,67.2133
129.9017994802 ,52.0267
129.9020303202 ,54.24
129.9022611602 ,54.0133
129.9024920002 ,64.0133
129.9027228402 ,97.8
129.9029536802 ,113.4267
129.9031845202 ,88.64
129.9034153602 ,76.88
129.9036462002 ,79.08
129.9038770402 ,58.0933
129.9041078802 ,53.7733
129.9043387202 ,78.2533
129.9045695602 ,120.1467
129.9048004002 ,175.5067
129.9050312402 ,136
129.9052620802 ,47.56
129.9054929202 ,49.9467
129.9057237602 ,111.4533
129.9059546002 ,150.8133
129.9061854402 ,94.7867
129.9064162802 ,62.5467
129.9066471202 ,78.1467
129.9068779602 ,63.3467
129.9071088002 ,61.84
129.9073396402 ,92.5867
129.9075704802 ,116.9067
129.9078013202 ,100.5333
129.9080321602 ,82.0533
129.9082630002 ,80.3733
129.9084938402 ,105.3067
129.9087246802 ,156.6933
129.9089555202 ,129.8667
129.9091863602 ,77.0933
129.9094172002 ,94.4
129.9096480402 ,107.64
129.9098788802 ,106.64
129.9101097202 ,88.7333
129.9103405602 ,60.8133
129.9105714002 ,58.6
129.9108022402 ,112.0667
129.9110330802 ,148.0667
129.9112639202 ,131.68
129.9114947602 ,108.88
129.9117256002 ,86.64
129.9119564402 ,74.9067
129.9121872802 ,94
129.9124181202 ,104.0667
129.9126489602 ,89.16
129.9128798002 ,84.1467
129.9131106402 ,82.1067
129.9133414802 ,87.8533
129.9135723202 ,94.1467
129.9138031602 ,83.5333
129.9140340002 ,85.04
129.9142648402 ,114.2133
129.9144956802 ,116.92
129.9147265202 ,79.64
129.9149573602 ,75.9467
129.9151882002 ,96.2933
129.9154190402 ,94.2133
129.9156498802 ,74.4133
129.9158807202 ,62.4133
129.9161115602 ,70.2533
129.9163424002 ,74.8667
129.9165732402 ,66.72
129.9168040802 ,70.4933
129.9170349202 ,74.12
129.9172657602 ,64.7333
129.9174966002 ,57.9867
129.9177274402 ,72.0533
129.9179582802 ,83.5867
129.9181891202 ,75.64
129.9184199602 ,68.6933
129.9186508002 ,61.68
129.9188816402 ,47.5067
129.9191124802 ,36.9733
129.9193433202 ,55.4933
129.9195741602 ,101.1067
129.9198050002 ,106.6933
129.9200358402 ,73.9067
129.9202666802 ,58.6933
129.9204975202 ,60.84
129.9207283602 ,61.76
129.9209592002 ,70.3733
129.9211900402 ,100
129.9214208802 ,98.4267
129.9216517202 ,64.32
129.9218825602 ,54.0533
129.9221134002 ,61.04
129.9223442402 ,69.0667
129.9225750802 ,67.5733
129.9228059202 ,72.8133
129.9230367602 ,94.3467
129.9232676002 ,113.9733
129.9234984402 ,96.24
129.9237292802 ,63.8133
129.9239601202 ,75.8267
129.9241909602 ,137.56
129.9244218002 ,180.8133
129.9246526402 ,153.2
129.9248834802 ,82.8933
129.9251143202 ,54.7333
129.9253451602 ,58.92
129.9255760002 ,60.5333
129.9258068402 ,72.7867
129.9260376802 ,111.0533
129.9262685202 ,123.12
129.9264993602 ,77.4667
129.9267302002 ,67.4267
129.9269610402 ,107.0933
129.9271918802 ,125.76
129.9274227202 ,89.9067
129.9276535602 ,60.7867
129.9278844002 ,58.16
129.9281152402 ,62.6133
129.9283460802 ,55.7333
129.9285769202 ,52.5067
129.9288077602 ,105.92
129.9290386002 ,167.6533
129.9292694402 ,131.56
129.9295002802 ,70.96
129.9297311202 ,64.32
129.9299619602 ,69.3733
129.9301928002 ,74.3733
129.9304236402 ,81.3733
129.9306544802 ,80.44
129.9308853202 ,87.28
129.9311161602 ,79.3733
129.9313470002 ,54.8
129.9315778402 ,60.8933
129.9318086802 ,72.96
129.9320395202 ,74.1333
129.9322703602 ,83.9467
129.9325012002 ,92.6267
129.9327320402 ,83.44
129.9329628802 ,66.6533
129.9331937202 ,93.0667
129.9334245602 ,126.6933
129.9336554002 ,88.9867
129.9338862402 ,57.04
129.9341170802 ,77.4
129.9343479202 ,89.8133
129.9345787602 ,90.6267
129.9348096002 ,97.36
129.9350404402 ,91.88
129.9352712802 ,85.7467
129.9355021202 ,92.3467
129.9357329602 ,97.48
129.9359638002 ,105.88
129.9361946402 ,111.8267
129.9364254802 ,99.04
129.9366563202 ,80.6267
129.9368871602 ,85.4
129.9371180002 ,104.2267
129.9373488402 ,76.04
129.9375796802 ,76.5333
129.9378105202 ,74.6267
129.9380413602 ,79.1733
129.9382722002 ,80.92
129.9385030402 ,67.7867
129.9387338802 ,57.7067
129.9389647202 ,58.5333
129.9391955602 ,64.36
129.9394264002 ,82.5067
129.9396572402 ,97.24
129.9398880802 ,93.8267
129.9401189202 ,93.5067
129.9403497602 ,74.04
129.9405806002 ,57
129.9408114402 ,89
129.9410422802 ,162.8933
129.9412731202 ,43.36
129.9415039602 ,48.9733
129.9417348002 ,65.64
129.9419656402 ,96.7067
129.9421964802 ,113.8
129.9424273202 ,91.6533
129.9426581602 ,57.64
129.9428890002 ,59.68
129.9431198402 ,82
129.9433506802 ,103.2667
129.9435815202 ,107.1733
129.9438123602 ,90.04
129.9440432002 ,72.7333
129.9442740402 ,75.9067
129.9445048802 ,75.3333
129.9447357202 ,73.9333
129.9449665602 ,68.76
129.9451974002 ,66.6
129.9454282402 ,73.08
129.9456590802 ,77.2133
129.9458899202 ,82.2533
129.9461207602 ,123.1867
129.9463516002 ,145.0267
129.9465824402 ,103.4133
129.9468132802 ,88.4533
129.9470441202 ,80.0667
129.9472749602 ,59.24
129.9475058002 ,70.2933
129.9477366402 ,83.28
129.9479674802 ,76.1733
