Final.depth_m,Grayscale
132.0077528002 ,101.36
132.0079836402 ,121.8267
132.0082144802 ,149.5333
132.0084453202 ,170.1733
132.0086761602 ,182.4133
132.0089070002 ,180.04
132.0091378402 ,171.64
132.0093686802 ,156.84
132.0095995202 ,125.36
132.0098303602 ,118.2933
132.0100612002 ,145.3333
132.0102920402 ,149.92
132.0105228802 ,144.88
132.0107537202 ,140.64
132.0109845602 ,114.1467
132.0112154002 ,95.9467
132.0114462402 ,95.0667
132.0116770802 ,83.3467
132.0119079202 ,86.8
132.0121387602 ,99.24
132.0123696002 ,101.7867
132.0126004402 ,114.0933
132.0128312802 ,135.1333
132.0130621202 ,141.2667
132.0132929602 ,154.4533
132.0135238002 ,154.7867
132.0137546402 ,147.8667
132.0139854802 ,139.1733
132.0142163202 ,124.84
132.0144471602 ,120.7467
132.0146780002 ,117.1467
132.0149088402 ,129.8933
132.0151396802 ,147.04
132.0153705202 ,152.4
132.0156013602 ,157.3467
132.0158322002 ,157.0933
132.0160630402 ,149.5067
132.0162938802 ,153.3867
132.0165247202 ,162.0133
132.0167555602 ,163.4667
132.0169864002 ,169.8667
132.0172172402 ,180.6533
132.0174480802 ,183.08
132.0176789202 ,176.6267
132.0179097602 ,167.88
132.0181406002 ,183.1067
132.0183714402 ,201.0533
132.0186022802 ,202.08
132.0188331202 ,193.76
132.0190639602 ,195.76
132.0192948002 ,201.1067
132.0195256402 ,195.3067
132.0197564802 ,191.8667
132.0199873202 ,195.36
132.0202181602 ,193.32
132.0204490002 ,179.2533
132.0206798402 ,165.12
132.0209106802 ,156.4533
132.0211415202 ,154.9333
132.0213723602 ,167.12
132.0216032002 ,180.0133
132.0218340402 ,170.52
132.0220648802 ,145.8933
132.0222957202 ,135.3733
132.0225265602 ,132.0533
132.0227574002 ,148.9733
132.0229882402 ,162.76
132.0232190802 ,175.4
132.0234499202 ,194.24
132.0236807602 ,202.4933
132.0239116002 ,201.4267
132.0241424402 ,192.1333
132.0243732802 ,183.6933
132.0246041202 ,158.0667
132.0248349602 ,115.7467
132.0250658002 ,97.7333
132.0252966402 ,120.1733
132.0255274802 ,138.4267
132.0257583202 ,159.3333
132.0259891602 ,179.3333
132.0262200002 ,191.4667
132.0264508402 ,195.0133
132.0266816802 ,190.5333
132.0269125202 ,189.96
132.0271433602 ,183.8133
132.0273742002 ,180.4667
132.0276050402 ,188.3467
132.0278358802 ,189.7467
132.0280667202 ,183.1067
132.0282975602 ,172.3067
132.0285284002 ,153.6
132.0287592402 ,148.4933
132.0289900802 ,156.7867
132.0292209202 ,147.7467
132.0294517602 ,124.1733
132.0296826002 ,128.2133
132.0299134402 ,149.2133
132.0301442802 ,157.9867
132.0303751202 ,152.6133
132.0306059602 ,125.36
132.0308368002 ,110.7867
132.0310676402 ,96.3733
132.0312984802 ,88.1733
132.0315293202 ,106.52
132.0317601602 ,132.6133
132.0319910002 ,139.7067
132.0322218402 ,129.2667
132.0324526802 ,123.9733
132.0326835202 ,138.16
132.0329143602 ,157.32
132.0331452002 ,158.1733
132.0333760402 ,125.8133
132.0336068802 ,90.68
132.0338377202 ,101.4933
132.0340685602 ,165.8533
132.0342994002 ,179.6267
132.0345302402 ,136.8
132.0347610802 ,102.08
132.0349919202 ,111.8667
132.0352227602 ,147.7067
132.0354536002 ,169.9333
132.0356844402 ,145.16
132.0359152802 ,118.8133
132.0361461202 ,130.3333
132.0363769602 ,189.32
132.0366078002 ,189.4267
132.0368386402 ,183.44
132.0370694802 ,188.48
132.0373003202 ,195.9867
132.0375311602 ,200.5867
132.0377620002 ,194.24
132.0379928402 ,186.4
132.0382236802 ,187.2667
132.0384545202 ,190.4933
132.0386853602 ,201.0133
132.0389162002 ,172.88
132.0391470402 ,121.9067
132.0393778802 ,125.6133
132.0396087202 ,148.24
132.0398395602 ,149.7867
132.0400704002 ,140.2667
132.0403012402 ,135.5733
132.0405320802 ,146.7733
132.0407629202 ,152.8933
132.0409937602 ,153.72
132.0412246002 ,140.8933
132.0414554402 ,116.4267
132.0416862802 ,106.84
132.0419171202 ,119.92
132.0421479602 ,134.4933
132.0423788002 ,134.44
132.0426096402 ,129.52
132.0428404802 ,128.2
132.0430713202 ,134.9333
132.0433021602 ,147.5733
132.0435330002 ,149.3467
132.0437638402 ,141.6133
132.0439946802 ,157.48
132.0442255202 ,172.28
132.0444563602 ,176.7867
132.0446872002 ,164.7867
132.0449180402 ,152.4267
132.0451488802 ,132.16
132.0453797202 ,104.7733
132.0456105602 ,104.1333
132.0458414002 ,120.3067
132.0460722402 ,141.36
132.0463030802 ,165.24
132.0465339202 ,152.9067
132.0467647602 ,134.9867
132.0469956002 ,154.32
132.0472264402 ,186.8
132.0474572802 ,179.72
132.0476881202 ,107.7467
132.0479189602 ,86.96
132.0481498002 ,145.2667
132.0483806402 ,156.4933
132.0486114802 ,137.5467
132.0488423202 ,135.2267
132.0490731602 ,134.1867
132.0493040002 ,122.9333
132.0495348402 ,111.2267
132.0497656802 ,97.5867
132.0499965202 ,96.8933
132.0502273602 ,105.12
132.0504582002 ,93.3067
132.0506890402 ,78.6667
132.0509198802 ,89.0667
132.0511507202 ,107.4
132.0513815602 ,131.1467
132.0516124002 ,119.0533
132.0518432402 ,93.0933
132.0520740802 ,166.44
132.0523049202 ,230.3067
132.0525357602 ,207.2533
132.0527666002 ,164
132.0529974402 ,154.2133
132.0532282802 ,176.2667
132.0534591202 ,176.9867
132.0536899602 ,181.6667
132.0539208002 ,188.6667
132.0541516402 ,198.1333
132.0543824802 ,194.7467
132.0546133202 ,169.6667
132.0548441602 ,182.1333
132.0550750002 ,206.0933
132.0553058402 ,208.8
132.0555366802 ,201.8667
132.0557675202 ,196.04
132.0559983602 ,196.4667
132.0562292002 ,192.68
132.0564600402 ,184.8267
132.0566908802 ,177.28
132.0569217202 ,179.5733
132.0571525602 ,189.04
132.0573834002 ,189.7867
132.0576142402 ,186.0133
132.0578450802 ,192.8667
132.0580759202 ,197.8
132.0583067602 ,191.08
132.0585376002 ,188.7867
132.0587684402 ,186.44
132.0589992802 ,177.8267
132.0592301202 ,179.48
132.0594609602 ,195.1067
132.0596918002 ,196.1333
132.0599226402 ,188.5333
132.0601534802 ,192.1067
132.0603843202 ,199.32
132.0606151602 ,198.5467
132.0608460002 ,195.2533
132.0610768402 ,193.16
132.0613076802 ,189.2133
132.0615385202 ,190.4133
132.0617693602 ,181.16
132.0620002002 ,165.16
132.0622310402 ,162.9067
132.0624618802 ,179.2667
132.0626927202 ,192.2933
132.0629235602 ,189.2133
132.0631544002 ,192.8267
132.0633852402 ,190.0533
132.0636160802 ,129.9467
132.0638469202 ,94.8
132.0640777602 ,159.44
132.0643086002 ,202.2933
132.0645394402 ,191.4267
132.0647702802 ,193.64
132.0650011202 ,188.4667
132.0652319602 ,166.5467
132.0654628002 ,174.2667
132.0656936402 ,168.48
132.0659244802 ,134.08
132.0661553202 ,138.6533
132.0663861602 ,167.76
132.0666170002 ,171.0667
132.0668478402 ,193.7333
132.0670786802 ,209.0667
132.0673095202 ,203.3333
132.0675403602 ,181.88
132.0677712002 ,140.84
132.0680020402 ,129.2533
132.0682328802 ,149.5467
132.0684637202 ,149.4267
132.0686945602 ,148.0267
132.0689254002 ,122.84
132.0691562402 ,105.28
132.0693870802 ,128.2
132.0696179202 ,172.52
132.0698487602 ,182.4267
132.0700796002 ,161.8267
132.0703104402 ,131.4533
132.0705412802 ,150.16
132.0707721202 ,165.84
132.0710029602 ,149.7867
132.0712338002 ,128.1333
132.0714646402 ,117.0933
132.0716954802 ,98.4533
132.0719263202 ,106.24
132.0721571602 ,129.6133
132.0723880002 ,132.28
132.0726188402 ,113.5333
132.0728496802 ,106.2667
132.0730805202 ,93.72
132.0733113602 ,96.04
132.0735422002 ,83.5867
132.0737730402 ,86.6267
132.0740038802 ,139.04
132.0742347202 ,139.4533
132.0744655602 ,133.4933
132.0746964002 ,165.8267
132.0749272402 ,161.8133
132.0751580802 ,137.7733
132.0753889202 ,137.3467
132.0756197602 ,151.4533
132.0758506002 ,154.9867
132.0760814402 ,135.84
132.0763122802 ,118.5733
132.0765431202 ,104.6
132.0767739602 ,110.9733
132.0770048002 ,119.64
132.0772356402 ,111.16
132.0774664802 ,84.0933
132.0776973202 ,153.6933
132.0779281602 ,194.9467
132.0781590002 ,166.68
132.0783898402 ,160.4533
132.0786206802 ,191.84
132.0788515202 ,187.9467
132.0790823602 ,158.24
132.0793132002 ,173.76
132.0795440402 ,202.6267
132.0797748802 ,203.0933
132.0800057202 ,195.7867
132.0802365602 ,158.72
132.0804674002 ,99.0533
132.0806982402 ,88.0667
132.0809290802 ,131.6267
132.0811599202 ,148.16
132.0813907602 ,108.6667
132.0816216002 ,76.9733
132.0818524402 ,115.52
132.0820832802 ,181.9067
132.0823141202 ,195.3867
132.0825449602 ,190.52
132.0827758002 ,196.28
132.0830066402 ,200.0533
132.0832374802 ,182.84
132.0834683202 ,151.92
132.0836991602 ,137.9333
132.0839300002 ,153.44
132.0841608402 ,159.8667
132.0843916802 ,158.3467
132.0846225202 ,161.9467
132.0848533602 ,163.4133
132.0850842002 ,132.9867
132.0853150402 ,109.1067
132.0855458802 ,126.9733
132.0857767202 ,144.9733
132.0860075602 ,140.52
132.0862384002 ,135.1333
132.0864692402 ,128.4133
132.0867000802 ,105.52
132.0869309202 ,94.8267
132.0871617602 ,114.6133
132.0873926002 ,106.28
132.0876234402 ,105.5867
132.0878542802 ,152.36
132.0880851202 ,129.6133
132.0883159602 ,68.5467
132.0885468002 ,89.9467
132.0887776402 ,182.5067
132.0890084802 ,210.2667
132.0892393202 ,187.0533
132.0894701602 ,160.68
132.0897010002 ,175.08
132.0899318402 ,170.5867
132.0901626802 ,152.36
132.0903935202 ,153.8533
132.0906243602 ,163.2133
132.0908552002 ,136.52
132.0910860402 ,116.3467
132.0913168802 ,134.72
132.0915477202 ,139.1867
132.0917785602 ,140.0267
132.0920094002 ,158.9733
132.0922402402 ,158.4267
132.0924710802 ,169.1733
132.0927019202 ,177.8667
132.0929327602 ,179.1333
132.0931636002 ,173.68
132.0933944402 ,156.36
132.0936252802 ,147.92
132.0938561202 ,155.6267
132.0940869602 ,153.9867
132.0943178002 ,135.6267
132.0945486402 ,121.7733
132.0947794802 ,145.7733
132.0950103202 ,170.6933
132.0952411602 ,176.64
132.0954720002 ,158.5733
132.0957028402 ,147.6933
132.0959336802 ,145.9867
132.0961645202 ,146.64
132.0963953602 ,148.1333
132.0966262002 ,140.56
132.0968570402 ,136.3333
132.0970878802 ,137.4667
132.0973187202 ,143.0267
132.0975495602 ,151.4133
132.0977804002 ,141.6
132.0980112402 ,121.4133
132.0982420802 ,107.6667
132.0984729202 ,97.7333
132.0987037602 ,141.9467
132.0989346002 ,198.28
132.0991654402 ,188.72
132.0993962802 ,128.6
132.0996271202 ,68.5067
132.0998579602 ,83.5467
132.1000888002 ,125.96
132.1003196402 ,137.6267
132.1005504802 ,109.7733
132.1007813202 ,129.0533
132.1010121602 ,122.3467
132.1012430002 ,138.3733
132.1014738402 ,104.04
132.1017046802 ,68.4933
132.1019355202 ,102.16
132.1021663602 ,192.88
132.1023972002 ,216.36
132.1026280402 ,158.76
132.1028588802 ,65.4133
132.1030897202 ,71.6267
132.1033205602 ,100.3333
132.1035514002 ,131.12
132.1037822402 ,127.68
132.1040130802 ,124.8
132.1042439202 ,126.5733
132.1044747602 ,163.4267
132.1047056002 ,181.3333
132.1049364402 ,173.4267
132.1051672802 ,178.9733
132.1053981202 ,189.9067
132.1056289602 ,163.04
132.1058598002 ,129.84
132.1060906402 ,142.0933
132.1063214802 ,145.92
132.1065523202 ,135.7867
132.1067831602 ,148.1067
132.1070140002 ,145.5333
132.1072448402 ,128.12
132.1074756802 ,134.9467
132.1077065202 ,145.6933
132.1079373602 ,146.8667
132.1081682002 ,133.4267
132.1083990402 ,121.56
132.1086298802 ,108.8
132.1088607202 ,120.28
132.1090915602 ,142.3467
132.1093224002 ,147.0933
132.1095532402 ,135.1333
132.1097840802 ,121.56
132.1100149202 ,143.7733
132.1102457602 ,130.44
132.1104766002 ,70.0267
132.1107074402 ,69.12
132.1109382802 ,101.4133
132.1111691202 ,111.36
132.1113999602 ,83.04
132.1116308002 ,75.1733
132.1118616402 ,103.9333
132.1120924802 ,105.3467
132.1123233202 ,93.6533
132.1125541602 ,133.6933
132.1127850002 ,195.6667
132.1130158402 ,199.7867
132.1132466802 ,170.3867
132.1134775202 ,179.68
132.1137083602 ,198.36
132.1139392002 ,217.0267
132.1141700402 ,191.7333
132.1144008802 ,122.3333
132.1146317202 ,104.4533
132.1148625602 ,145.8267
132.1150934002 ,187.6267
132.1153242402 ,188.08
132.1155550802 ,166.5867
132.1157859202 ,166.3733
132.1160167602 ,140.92
132.1162476002 ,94.1867
132.1164784402 ,204.3067
132.1167092802 ,220.04
132.1169401202 ,176.9467
132.1171709602 ,146.4933
132.1174018002 ,190.3333
132.1176326402 ,207.6933
132.1178634802 ,195.3333
132.1180943202 ,198.48
132.1183251602 ,206.16
132.1185560002 ,204.6133
132.1187868402 ,205.3867
132.1190176802 ,201.7733
132.1192485202 ,181.04
132.1194793602 ,181.9333
132.1197102002 ,187.1067
132.1199410402 ,160.8133
132.1201718802 ,174.3867
132.1204027202 ,181.4533
132.1206335602 ,124.44
132.1208644002 ,119.16
132.1210952402 ,139.2667
132.1213260802 ,143.9067
132.1215569202 ,130.0533
132.1217877602 ,126.9333
132.1220186002 ,139.52
132.1222494402 ,153.8
132.1224802802 ,158.1733
132.1227111202 ,158.1867
132.1229419602 ,152.5333
132.1231728002 ,142.8133
132.1234036402 ,130.7867
132.1236344802 ,132.1333
132.1238653202 ,134.32
132.1240961602 ,117.28
132.1243270002 ,113.9467
132.1245578402 ,124.9867
132.1247886802 ,132.52
132.1250195202 ,109.92
132.1252503602 ,90.7867
132.1254812002 ,94.16
132.1257120402 ,168.48
132.1259428802 ,185.6
132.1261737202 ,168.1467
132.1264045602 ,139.3333
132.1266354002 ,135.3333
132.1268662402 ,154.4267
132.1270970802 ,176.1067
132.1273279202 ,192.6267
132.1275587602 ,184.5733
132.1277896002 ,154.2
132.1280204402 ,113.2267
132.1282512802 ,104.2933
132.1284821202 ,142.64
132.1287129602 ,177.08
132.1289438002 ,180.3467
132.1291746402 ,180.9067
132.1294054802 ,178.5867
132.1296363202 ,148.7467
132.1298671602 ,130.5733
132.1300980002 ,161.8133
132.1303288402 ,164.2933
132.1305596802 ,132.9467
132.1307905202 ,127.16
132.1310213602 ,119.6133
132.1312522002 ,114.96
132.1314830402 ,154.0533
132.1317138802 ,177.2
132.1319447202 ,171.04
132.1321755602 ,157.6533
132.1324064002 ,155.48
