"Final.depth(m)","grascale"
133.11301472022,99.9467
133.11324556022,103.4933
133.11347640022,129.3333
133.11370724022,119.2667
133.11393808022,80.4
133.11416892022,98.1467
133.11439976022,122.04
133.11463060022,124.16
133.11486144022,118.5867
133.11509228022,122.5867
133.11532312022,127.5067
133.11555396022,132.96
133.11578480022,124.6667
133.11601564022,112.8133
133.11624648022,134.8
133.11647732022,181.68
133.11670816022,208.9867
133.11693900022,182.1867
133.11716984022,118.2667
133.11740068022,111.3067
133.11763152022,135.3733
133.11786236022,146.9867
133.11809320022,158.1067
133.11832404022,121.9333
133.11855488022,92.44
133.11878572022,114.1733
133.11901656022,128.4667
133.11924740022,115.5333
133.11947824022,104.5867
133.11970908022,103.48
133.11993992022,102.0267
133.12017076022,103.36
133.12040160022,95.8533
133.12063244022,84.32
133.12086328022,98.0933
133.12109412022,122.0667
133.12132496022,115.7333
133.12155580022,76.8133
133.12178664022,62.92
133.12201748022,78.56
133.12224832022,88.2133
133.12247916022,63.4
133.12271000022,55.24
133.12294084022,66.44
133.12317168022,78.8133
133.12340252022,95.24
133.12363336022,111.04
133.12386420022,96.0133
133.12409504022,86.5333
133.12432588022,91.6267
133.12455672022,152.08
133.12478756022,212.52
133.12501840022,231.8267
133.12524924022,163.36
133.12548008022,117.56
133.12571092022,236.3733
133.12594176022,164.24
133.12617260022,87.4133
133.12640344022,111.16
133.12663428022,106.24
133.12686512022,123.6267
133.12709596022,133.4533
133.12732680022,79.4533
133.12755764022,77.1333
133.12778848022,105.28
133.12801932022,104.7467
133.12825016022,104.8533
133.12848100022,69.4533
133.12871184022,77.0267
133.12894268022,94.16
133.12917352022,91.92
133.12940436022,73.5067
133.12963520022,61.6533
133.12986604022,79.3067
133.13009688022,101.2133
133.13032772022,92.5867
133.13055856022,80.9067
133.13078940022,78.96
133.13102024022,75.7733
133.13125108022,76.76
133.13148192022,81.28
133.13171276022,87.6533
133.13194360022,95.32
133.13217444022,106.2933
133.13240528022,113.8
133.13263612022,163.1867
133.13286696022,191.7867
133.13309780022,212.3733
133.13332864022,210.3733
133.13355948022,212.0267
133.13379032022,215.1067
133.13402116022,183.76
133.13425200022,152.52
133.13448284022,177.7067
133.13471368022,169.9733
133.13494452022,134.4667
133.13517536022,148.08
133.13540620022,150.8133
133.13563704022,119.88
133.13586788022,149.1733
133.13609872022,177.1733
133.13632956022,157.5067
133.13656040022,100.1733
133.13679124022,119.8933
133.13702208022,139.8667
133.13725292022,103.5333
133.13748376022,70.8667
133.13771460022,77.3467
133.13794544022,72.7467
133.13817628022,74
133.13840712022,78.56
133.13863796022,101.0933
133.13886880022,129.2933
133.13909964022,138.6133
133.13933048022,138.48
133.13956132022,154.3467
133.13979216022,163.32
133.14002300022,162.6133
133.14025384022,131.6533
133.14048468022,78.7067
133.14071552022,78.16
133.14094636022,99.5733
133.14117720022,120.3333
133.14140804022,86.6267
133.14163888022,36.56
133.14186972022,44.5467
133.14210056022,58.5467
133.14233140022,76.4533
133.14256224022,130.5333
133.14279308022,181
133.14302392022,200.6533
133.14325476022,194.4933
133.14348560022,174.72
133.14371644022,134.12
133.14394728022,87.7867
133.14417812022,63
133.14440896022,73.8533
133.14463980022,108.2933
133.14487064022,119.9333
133.14510148022,95.1467
133.14533232022,88.0933
133.14556316022,109.76
133.14579400022,89.8
133.14602484022,50.4667
133.14625568022,79.1867
133.14648652022,154.68
133.14671736022,163.4667
133.14694820022,169.8667
133.14717904022,195.3067
133.14740988022,160.12
133.14764072022,89.8933
133.14787156022,70.6933
133.14810240022,96.72
133.14833324022,117.0133
133.14856408022,101.8933
133.14879492022,79.4933
133.14902576022,78.12
133.14925660022,89.72
133.14948744022,104.4267
133.14971828022,101.08
133.14994912022,99.4667
133.15017996022,130
133.15041080022,128.3867
133.15064164022,120.0133
133.15087248022,115.44
133.15110332022,108.16
133.15133416022,166.3067
133.15156500022,214.5333
133.15179584022,181.08
133.15202668022,119.1467
133.15225752022,97.9733
133.15248836022,95.3067
133.15271920022,97.2933
133.15295004022,113.04
133.15318088022,108.8933
133.15341172022,112.9467
133.15364256022,123.6667
133.15387340022,115.4667
133.15410424022,91.4533
133.15433508022,90.4
133.15456592022,92.7733
133.15479676022,80.6
133.15502760022,121.0533
133.15525844022,175.44
133.15548928022,186.48
133.15572012022,156.92
133.15595096022,122.48
133.15618180022,95.8267
133.15641264022,117.3733
133.15664348022,117.28
133.15687432022,91.0133
133.15710516022,81.6
133.15733600022,82.8533
133.15756684022,98.3333
133.15779768022,90.8
133.15802852022,84.4667
133.15825936022,91.4533
133.15849020022,89.4933
133.15872104022,77.72
133.15895188022,79.28
133.15918272022,79.2267
133.15941356022,71.6267
133.15964440022,86.6133
133.15987524022,143.3333
133.16010608022,181.2
133.16033692022,189.92
133.16056776022,198.1333
133.16079860022,178.88
133.16102944022,95.8267
133.16126028022,50.9867
133.16149112022,59.4
133.16172196022,67.0133
133.16195280022,71.3867
133.16218364022,63.04
133.16241448022,54.3333
133.16264532022,53.5733
133.16287616022,56.4667
133.16310700022,66.28
133.16333784022,70.08
133.16356868022,75.3067
133.16379952022,86.44
133.16403036022,82.9333
133.16426120022,76.4267
133.16449204022,73.7467
133.16472288022,84.04
133.16495372022,108.28
133.16518456022,82.52
133.16541540022,121.8267
133.16564624022,197.3867
133.16587708022,145.24
133.16610792022,146.32
133.16633876022,199.0933
133.16656960022,213.7067
133.16680044022,193.08
133.16703128022,182.24
133.16726212022,178.9467
133.16749296022,183.8667
133.16772380022,186.0667
133.16795464022,156.2533
133.16818548022,118.9867
133.16841632022,127.7467
133.16864716022,150.8933
133.16887800022,134.1067
133.16910884022,128.6267
133.16933968022,118.4667
133.16957052022,147.8533
133.16980136022,113.3867
133.17003220022,114.2267
133.17026304022,200.6
133.17049388022,214.8
133.17072472022,209.7467
133.17095556022,205.3733
133.17118640022,216.8667
133.17141724022,205.5867
133.17164808022,129.3067
133.17187892022,81.16
133.17210976022,143.7467
133.17234060022,162.4533
133.17257144022,153.72
133.17280228022,111.2667
133.17303312022,71.1333
133.17326396022,115.3467
133.17349480022,134.0933
133.17372564022,105.2133
133.17395648022,101.3333
133.17418732022,121.68
133.17441816022,158.5733
133.17464900022,180.4
133.17487984022,185.04
133.17511068022,185.1333
133.17534152022,164.4133
133.17557236022,148.08
133.17580320022,154.5467
133.17603404022,168.4933
133.17626488022,133.6533
133.17649572022,86.2133
133.17672656022,141.64
133.17695740022,126.1467
133.17718824022,104.0667
133.17741908022,132.1333
133.17764992022,142.5333
133.17788076022,112.28
133.17811160022,83.4933
133.17834244022,69.5733
133.17857328022,67.5333
133.17880412022,53.7467
133.17903496022,66.64
133.17926580022,134.92
133.17949664022,173.1067
133.17972748022,149.5867
133.17995832022,123.7067
133.18018916022,116.32
133.18042000022,104.8933
133.18065084022,124.0133
133.18088168022,132.52
133.18111252022,116.68
133.18134336022,170.7867
133.18157420022,219.04
133.18180504022,208.4667
133.18203588022,168.9467
133.18226672022,133.8
133.18249756022,125.16
133.18272840022,140.9333
133.18295924022,156.7333
133.18319008022,163.5867
133.18342092022,165.8133
133.18365176022,172.1867
133.18388260022,168.6933
133.18411344022,170.2
133.18434428022,191.9333
133.18457512022,200.2667
133.18480596022,187.36
133.18503680022,138.2667
133.18526764022,79.8
133.18549848022,76.16
133.18572932022,83.7867
133.18596016022,130.52
133.18619100022,176.8533
133.18642184022,145.84
133.18665268022,118.36
133.18688352022,108.0267
133.18711436022,99.3467
133.18734520022,93.92
133.18757604022,108.6267
133.18780688022,142.5333
133.18803772022,154.6
133.18826856022,130.76
133.18849940022,81.6533
133.18873024022,56
133.18896108022,78.7867
133.18919192022,111.9467
133.18942276022,146.2133
133.18965360022,146.92
133.18988444022,82.2667
133.19011528022,93.44
133.19034612022,123.0933
133.19057696022,105.9467
133.19080780022,113.0267
133.19103864022,114
133.19126948022,96.3867
133.19150032022,108.5733
133.19173116022,110.3867
133.19196200022,78.0667
133.19219284022,96.9467
133.19242368022,162.1067
133.19265452022,163.7067
133.19288536022,101.2267
133.19311620022,60.5333
133.19334704022,86.3067
133.19357788022,98.84
133.19380872022,74.4933
133.19403956022,60.8933
133.19427040022,75.5867
