Final.depth_m,Grayscale
131.6349462002 ,53.5333
131.6351770402 ,52.3733
131.6354078802 ,80.64
131.6356387202 ,103.68
131.6358695602 ,64.7067
131.6361004002 ,53.8933
131.6363312402 ,89.4267
131.6365620802 ,85.3867
131.6367929202 ,65.5067
131.6370237602 ,80.3467
131.6372546002 ,132.88
131.6374854402 ,172.64
131.6377162802 ,155.7733
131.6379471202 ,94.2133
131.6381779602 ,43.8267
131.6384088002 ,42.96
131.6386396402 ,58.2933
131.6388704802 ,61.2
131.6391013202 ,58.4667
131.6393321602 ,93.1467
131.6395630002 ,116.3867
131.6397938402 ,84.2
131.6400246802 ,63.8667
131.6402555202 ,75.7733
131.6404863602 ,85.6267
131.6407172002 ,93.64
131.6409480402 ,110.08
131.6411788802 ,136.92
131.6414097202 ,151.5067
131.6416405602 ,127.4
131.6418714002 ,96.08
131.6421022402 ,82
131.6423330802 ,63.0667
131.6425639202 ,52.92
131.6427947602 ,94.1733
131.6430256002 ,148.1733
131.6432564402 ,157.9467
131.6434872802 ,160.4133
131.6437181202 ,154.48
131.6439489602 ,142.7733
131.6441798002 ,142.6933
131.6444106402 ,135.64
131.6446414802 ,120.0533
131.6448723202 ,101.16
131.6451031602 ,77.7467
131.6453340002 ,91.4533
131.6455648402 ,110.88
131.6457956802 ,111.96
131.6460265202 ,114.3333
131.6462573602 ,110.3867
131.6464882002 ,127.2533
131.6467190402 ,150.4533
131.6469498802 ,142.84
131.6471807202 ,117.08
131.6474115602 ,115.08
131.6476424002 ,107.9733
131.6478732402 ,70.9733
131.6481040802 ,66.9467
131.6483349202 ,108.7867
131.6485657602 ,152.7333
131.6487966002 ,165.5467
131.6490274402 ,162.5333
131.6492582802 ,152.6933
131.6494891202 ,151.8
131.6497199602 ,156.9467
131.6499508002 ,150.9733
131.6501816402 ,138.88
131.6504124802 ,136.6133
131.6506433202 ,142.4133
131.6508741602 ,135.2533
131.6511050002 ,113.7467
131.6513358402 ,100.5733
131.6515666802 ,103.76
131.6517975202 ,105.6133
131.6520283602 ,103.8
131.6522592002 ,99.4667
131.6524900402 ,95
131.6527208802 ,99.8
131.6529517202 ,102.9867
131.6531825602 ,104.8133
131.6534134002 ,105.28
131.6536442402 ,92.04
131.6538750802 ,72
131.6541059202 ,60.8267
131.6543367602 ,53.2133
131.6545676002 ,54.2667
131.6547984402 ,70.2
131.6550292802 ,108.48
131.6552601202 ,150.92
131.6554909602 ,163.4533
131.6557218002 ,158.6933
131.6559526402 ,148.3467
131.6561834802 ,125.24
131.6564143202 ,102.8933
131.6566451602 ,99.7067
131.6568760002 ,100.5733
131.6571068402 ,87.16
131.6573376802 ,77.44
131.6575685202 ,65.1067
131.6577993602 ,52.52
131.6580302002 ,47.5467
131.6582610402 ,52.5067
131.6584918802 ,64.5867
131.6587227202 ,77.6267
131.6589535602 ,78.68
131.6591844002 ,77.9867
131.6594152402 ,86.3467
131.6596460802 ,79.9467
131.6598769202 ,74.4267
131.6601077602 ,84.6933
131.6603386002 ,100.1067
131.6605694402 ,118.4667
131.6608002802 ,142.92
131.6610311202 ,156.5467
131.6612619602 ,135.36
131.6614928002 ,126.72
131.6617236402 ,145.9333
131.6619544802 ,128.9867
131.6621853202 ,95.8533
131.6624161602 ,87.9333
131.6626470002 ,91.2
131.6628778402 ,120.8667
131.6631086802 ,152.8933
131.6633395202 ,151.76
131.6635703602 ,145.7067
131.6638012002 ,148.4667
131.6640320402 ,148.64
131.6642628802 ,144.9467
131.6644937202 ,136.5067
131.6647245602 ,134.8267
131.6649554002 ,140.0667
131.6651862402 ,145.7067
131.6654170802 ,141.2667
131.6656479202 ,107.3733
131.6658787602 ,78.9733
131.6661096002 ,92.56
131.6663404402 ,136.68
131.6665712802 ,112.9867
131.6668021202 ,47.4933
131.6670329602 ,91.92
131.6672638002 ,146.8133
131.6674946402 ,153.8
131.6677254802 ,146.3333
131.6679563202 ,96.2667
131.6681871602 ,97.6267
131.6684180002 ,148.32
131.6686488402 ,158.6267
131.6688796802 ,135.4
131.6691105202 ,82.44
131.6693413602 ,52.4267
131.6695722002 ,65.6267
131.6698030402 ,110.8
131.6700338802 ,171.04
131.6702647202 ,170.12
131.6704955602 ,109.8
131.6707264002 ,100.3733
131.6709572402 ,128.7067
131.6711880802 ,142.56
131.6714189202 ,158.6
131.6716497602 ,161.12
131.6718806002 ,161.3067
131.6721114402 ,159.5733
131.6723422802 ,161.8133
131.6725731202 ,166.5333
131.6728039602 ,168.7733
131.6730348002 ,173.8533
131.6732656402 ,170.3467
131.6734964802 ,149
131.6737273202 ,139.5733
131.6739581602 ,133.6267
131.6741890002 ,84.3467
131.6744198402 ,54.84
131.6746506802 ,73.3733
131.6748815202 ,59.9467
131.6751123602 ,64.4
131.6753432002 ,111.88
131.6755740402 ,100.1333
131.6758048802 ,54.6533
131.6760357202 ,60.2267
131.6762665602 ,107.76
131.6764974002 ,129.96
131.6767282402 ,92.5867
131.6769590802 ,61
131.6771899202 ,82.4667
131.6774207602 ,141.1067
131.6776516002 ,154.7467
131.6778824402 ,124.8133
131.6781132802 ,122.96
131.6783441202 ,112.6533
131.6785749602 ,80.3867
131.6788058002 ,56.24
131.6790366402 ,78.7467
131.6792674802 ,132.2267
131.6794983202 ,119.5333
131.6797291602 ,109.0933
131.6799600002 ,144
131.6801908402 ,136.2933
131.6804216802 ,80.96
131.6806525202 ,75.88
131.6808833602 ,135.8667
131.6811142002 ,171.32
131.6813450402 ,167.6133
131.6815758802 ,149.4133
131.6818067202 ,148.6667
131.6820375602 ,155.3733
131.6822684002 ,156.8667
131.6824992402 ,153.7467
131.6827300802 ,149.2133
131.6829609202 ,141.2267
131.6831917602 ,133.72
131.6834226002 ,137.04
131.6836534402 ,158.8933
131.6838842802 ,155.9867
131.6841151202 ,108.12
131.6843459602 ,74.88
131.6845768002 ,97.0933
131.6848076402 ,124.7067
131.6850384802 ,139.16
131.6852693202 ,156.0267
131.6855001602 ,152.4933
131.6857310002 ,133.1067
131.6859618402 ,123.2667
131.6861926802 ,133.12
131.6864235202 ,148.2267
131.6866543602 ,157.7867
131.6868852002 ,158.7733
131.6871160402 ,156.12
131.6873468802 ,147.4
131.6875777202 ,146.1067
131.6878085602 ,156.9333
131.6880394002 ,160.8667
131.6882702402 ,156
131.6885010802 ,154.9467
131.6887319202 ,153.12
131.6889627602 ,151.84
131.6891936002 ,159.0933
131.6894244402 ,161.6
131.6896552802 ,153.4933
131.6898861202 ,151.1867
131.6901169602 ,155.3733
131.6903478002 ,145.5067
131.6905786402 ,89.8
131.6908094802 ,112.2
131.6910403202 ,141.12
131.6912711602 ,149.64
131.6915020002 ,153.6267
131.6917328402 ,157.9733
131.6919636802 ,158.5333
131.6921945202 ,154.2267
131.6924253602 ,144.16
131.6926562002 ,138.96
131.6928870402 ,137.0133
131.6931178802 ,137.2267
131.6933487202 ,140.6933
131.6935795602 ,140.8
131.6938104002 ,142.2
131.6940412402 ,146.0933
131.6942720802 ,143.52
131.6945029202 ,143.6667
131.6947337602 ,146.0533
131.6949646002 ,142.2
131.6951954402 ,136.2133
131.6954262802 ,136.16
131.6956571202 ,137.7733
131.6958879602 ,138.9733
131.6961188002 ,141.84
131.6963496402 ,139.8
131.6965804802 ,138.44
131.6968113202 ,140.9467
131.6970421602 ,144.1067
131.6972730002 ,146.8133
131.6975038402 ,145.8533
131.6977346802 ,144.92
131.6979655202 ,144.3733
131.6981963602 ,141.76
131.6984272002 ,138.7467
131.6986580402 ,136.6133
131.6988888802 ,136.2533
131.6991197202 ,136.7867
131.6993505602 ,134.92
131.6995814002 ,137.2533
131.6998122402 ,144.4667
131.7000430802 ,142.6133
131.7002739202 ,138.52
131.7005047602 ,139.3867
131.7007356002 ,139.6933
131.7009664402 ,138.64
131.7011972802 ,137.76
131.7014281202 ,138.7467
131.7016589602 ,139.0267
131.7018898002 ,135.9733
131.7021206402 ,131.3067
131.7023514802 ,127.2133
131.7025823202 ,136.7067
131.7028131602 ,152.1067
131.7030440002 ,153.64
131.7032748402 ,154.2533
131.7035056802 ,161.5867
131.7037365202 ,153.6533
131.7039673602 ,133.08
131.7041982002 ,121.2933
131.7044290402 ,125.8933
131.7046598802 ,150.3067
131.7048907202 ,168.4533
131.7051215602 ,169.9333
131.7053524002 ,164.9867
131.7055832402 ,160.3467
131.7058140802 ,158.92
131.7060449202 ,155.8267
131.7062757602 ,150.88
131.7065066002 ,154.2933
131.7067374402 ,160.04
131.7069682802 ,153.8
131.7071991202 ,143.92
131.7074299602 ,143.3733
131.7076608002 ,144.96
131.7078916402 ,143.3067
131.7081224802 ,144.2533
131.7083533202 ,143.28
131.7085841602 ,138.2267
131.7088150002 ,133.16
131.7090458402 ,134.3733
131.7092766802 ,141.5733
131.7095075202 ,153.0267
131.7097383602 ,154.0667
131.7099692002 ,145.8133
131.7102000402 ,154.0267
131.7104308802 ,163.3467
131.7106617202 ,160.7733
131.7108925602 ,161.5733
131.7111234002 ,159.2
131.7113542402 ,155.3733
131.7115850802 ,158.6267
131.7118159202 ,151.24
131.7120467602 ,142.6133
131.7122776002 ,144.32
131.7125084402 ,147.72
131.7127392802 ,151.0133
131.7129701202 ,153.7067
131.7132009602 ,152.9733
131.7134318002 ,153.5867
131.7136626402 ,153.04
131.7138934802 ,149.1067
131.7141243202 ,143.76
131.7143551602 ,139.56
131.7145860002 ,138.84
131.7148168402 ,135.04
