Final.depth_m,Grayscale
132.6220180402 ,75.0267
132.6222488802 ,100.0533
132.6224797202 ,124.4133
132.6227105602 ,119.9733
132.6229414002 ,94.7467
132.6231722402 ,90.0267
132.6234030802 ,102.56
132.6236339202 ,115.08
132.6238647602 ,135.2533
132.6240956002 ,149.76
132.6243264402 ,146.2667
132.6245572802 ,137.56
132.6247881202 ,133.1067
132.6250189602 ,137.16
132.6252498002 ,142.36
132.6254806402 ,142.5867
132.6257114802 ,136.28
132.6259423202 ,127.6933
132.6261731602 ,138.6667
132.6264040002 ,160.04
132.6266348402 ,155.3467
132.6268656802 ,146.16
132.6270965202 ,157.3333
132.6273273602 ,174.9733
132.6275582002 ,175.4
132.6277890402 ,138.3867
132.6280198802 ,92.6
132.6282507202 ,76.3333
132.6284815602 ,85.9067
132.6287124002 ,90.3467
132.6289432402 ,90.9067
132.6291740802 ,111.8667
132.6294049202 ,141.2
132.6296357602 ,144.68
132.6298666002 ,104.5733
132.6300974402 ,76.5733
132.6303282802 ,67.2933
132.6305591202 ,80.7733
132.6307899602 ,138
132.6310208002 ,155.8933
132.6312516402 ,111.1867
132.6314824802 ,106.12
132.6317133202 ,152.8933
132.6319441602 ,174.9067
132.6321750002 ,177.3733
132.6324058402 ,163.56
132.6326366802 ,131.7867
132.6328675202 ,134.64
132.6330983602 ,132.6
132.6333292002 ,123.2133
132.6335600402 ,140.0667
132.6337908802 ,109.9067
132.6340217202 ,81.3867
132.6342525602 ,73.2533
132.6344834002 ,91.72
132.6347142402 ,144.3867
132.6349450802 ,153.6667
132.6351759202 ,129.4667
132.6354067602 ,105.5333
132.6356376002 ,123.3067
132.6358684402 ,163.1733
132.6360992802 ,169.2667
132.6363301202 ,150.44
132.6365609602 ,149.8133
132.6367918002 ,130.6933
132.6370226402 ,128.9333
132.6372534802 ,159.0267
132.6374843202 ,139.6267
132.6377151602 ,95.7867
132.6379460002 ,53.92
132.6381768402 ,96.4667
132.6384076802 ,143.84
132.6386385202 ,82.88
132.6388693602 ,61.4933
132.6391002002 ,93.8133
132.6393310402 ,81.72
132.6395618802 ,96.3467
132.6397927202 ,157.4133
132.6400235602 ,155.7467
132.6402544002 ,89.72
132.6404852402 ,71.4267
132.6407160802 ,126.2667
132.6409469202 ,132.4267
132.6411777602 ,95.4933
132.6414086002 ,127.3333
132.6416394402 ,183.4667
132.6418702802 ,154
132.6421011202 ,68.7733
132.6423319602 ,92.48
132.6425628002 ,113.9067
132.6427936402 ,53.8133
132.6430244802 ,40.16
132.6432553202 ,78.4667
132.6434861602 ,116.1733
132.6437170002 ,139.0133
132.6439478402 ,156.32
132.6441786802 ,144.16
132.6444095202 ,106.44
132.6446403602 ,104.72
132.6448712002 ,96.0533
132.6451020402 ,72.1067
132.6453328802 ,79.7867
132.6455637202 ,91.4
132.6457945602 ,98.28
132.6460254002 ,100.4667
132.6462562402 ,92.5067
132.6464870802 ,102.9733
132.6467179202 ,147.5867
132.6469487602 ,171.28
132.6471796002 ,167.68
132.6474104402 ,164.8933
132.6476412802 ,165.52
132.6478721202 ,169.28
132.6481029602 ,177.0933
132.6483338002 ,139.9467
132.6485646402 ,87.1467
132.6487954802 ,84.7067
132.6490263202 ,93.9467
132.6492571602 ,89.2
132.6494880002 ,87.48
132.6497188402 ,97.7733
132.6499496802 ,106.76
132.6501805202 ,94.5733
132.6504113602 ,96.56
132.6506422002 ,143.6
132.6508730402 ,158.9067
132.6511038802 ,135.6933
132.6513347202 ,127.6667
132.6515655602 ,101.0667
132.6517964002 ,63.32
132.6520272402 ,44.5467
132.6522580802 ,54.8667
132.6524889202 ,92.9733
132.6527197602 ,146.7867
132.6529506002 ,172.28
132.6531814402 ,113.16
132.6534122802 ,66.2667
132.6536431202 ,85.4933
132.6538739602 ,98.88
132.6541048002 ,107.9467
132.6543356402 ,132.0133
132.6545664802 ,162.3067
132.6547973202 ,178.28
132.6550281602 ,135.8133
132.6552590002 ,92.3867
132.6554898402 ,93.9067
132.6557206802 ,96.0533
132.6559515202 ,93.5467
132.6561823602 ,71.4533
132.6564132002 ,53.24
132.6566440402 ,53.3867
132.6568748802 ,48.2933
132.6571057202 ,46.0267
132.6573365602 ,80.5067
132.6575674002 ,95.9467
132.6577982402 ,69.84
132.6580290802 ,61.2933
132.6582599202 ,67.6
132.6584907602 ,74.3867
132.6587216002 ,77.6
132.6589524402 ,83.3467
132.6591832802 ,93.4933
132.6594141202 ,103.1333
132.6596449602 ,103.8
132.6598758002 ,103.5733
132.6601066402 ,114.6667
132.6603374802 ,112.6
132.6605683202 ,111.8933
132.6607991602 ,108.4
132.6610300002 ,80.04
132.6612608402 ,72.1867
132.6614916802 ,93.72
132.6617225202 ,105.28
132.6619533602 ,92.84
132.6621842002 ,98.1333
132.6624150402 ,122.0133
132.6626458802 ,117.2267
132.6628767202 ,100.64
132.6631075602 ,88.7467
132.6633384002 ,78.88
132.6635692402 ,86.5067
132.6638000802 ,115.1333
132.6640309202 ,135.0667
132.6642617602 ,125.1067
132.6644926002 ,106.3733
132.6647234402 ,99.32
132.6649542802 ,107.5733
132.6651851202 ,135.2
132.6654159602 ,149.6533
132.6656468002 ,179.16
132.6658776402 ,183.7867
132.6661084802 ,192.16
132.6663393202 ,190
132.6665701602 ,183.6
132.6668010002 ,180.72
132.6670318402 ,181.1867
132.6672626802 ,194.0267
132.6674935202 ,201.5867
132.6677243602 ,205.5467
132.6679552002 ,204.4667
132.6681860402 ,153.4933
132.6684168802 ,65.7333
132.6686477202 ,77.92
132.6688785602 ,78.48
132.6691094002 ,131.08
132.6693402402 ,160.5067
132.6695710802 ,174.9867
132.6698019202 ,174.92
132.6700327602 ,174.68
132.6702636002 ,180.4
132.6704944402 ,160.7733
132.6707252802 ,79.8
132.6709561202 ,85.5467
132.6711869602 ,173.2933
132.6714178002 ,173.4267
132.6716486402 ,106.7333
132.6718794802 ,76.24
132.6721103202 ,95.4
132.6723411602 ,106.04
132.6725720002 ,110.1467
132.6728028402 ,110.9733
132.6730336802 ,126.0267
132.6732645202 ,133.2
132.6734953602 ,116.6667
132.6737262002 ,63.4933
132.6739570402 ,31.96
132.6741878802 ,38.44
132.6744187202 ,68.96
132.6746495602 ,77.88
132.6748804002 ,68.68
132.6751112402 ,60.8933
132.6753420802 ,61.64
132.6755729202 ,59.9067
132.6758037602 ,64.9867
132.6760346002 ,67.8133
132.6762654402 ,65.9067
132.6764962802 ,61.6667
132.6767271202 ,62.36
132.6769579602 ,77.28
132.6771888002 ,75.7067
132.6774196402 ,89.1333
132.6776504802 ,95.4133
132.6778813202 ,81.96
132.6781121602 ,72.0933
132.6783430002 ,71
132.6785738402 ,69.7067
132.6788046802 ,89.08
132.6790355202 ,100.0533
132.6792663602 ,105.24
132.6794972002 ,93.5467
132.6797280402 ,69.12
132.6799588802 ,51.9867
132.6801897202 ,47.68
132.6804205602 ,36.68
132.6806514002 ,76.52
132.6808822402 ,151.24
132.6811130802 ,147.92
132.6813439202 ,86.44
132.6815747602 ,58.5067
132.6818056002 ,60.3333
132.6820364402 ,69.6933
132.6822672802 ,72.7067
132.6824981202 ,84.9733
132.6827289602 ,89.6133
132.6829598002 ,88.6533
132.6831906402 ,90.1333
132.6834214802 ,105.1867
132.6836523202 ,119.5333
132.6838831602 ,138.6133
132.6841140002 ,119.68
132.6843448402 ,75.6
132.6845756802 ,140.92
132.6848065202 ,177.9467
132.6850373602 ,175.0667
132.6852682002 ,198.6267
132.6854990402 ,162.7333
132.6857298802 ,56.68
132.6859607202 ,78
132.6861915602 ,94.0267
132.6864224002 ,57.7733
132.6866532402 ,60.6267
132.6868840802 ,80.0533
132.6871149202 ,102.52
132.6873457602 ,87.8133
132.6875766002 ,66.0533
132.6878074402 ,100.1067
132.6880382802 ,177
132.6882691202 ,153.2667
132.6884999602 ,91.88
132.6887308002 ,104.4267
132.6889616402 ,136.5733
132.6891924802 ,153.3333
132.6894233202 ,161.6933
132.6896541602 ,163.4267
132.6898850002 ,134.08
132.6901158402 ,105.1067
132.6903466802 ,125.0133
132.6905775202 ,112.4667
132.6908083602 ,65.0933
132.6910392002 ,46.9067
132.6912700402 ,75.6533
132.6915008802 ,79.2533
132.6917317202 ,73.76
132.6919625602 ,72.2667
132.6921934002 ,75.48
132.6924242402 ,70.12
132.6926550802 ,119.4133
132.6928859202 ,157.16
132.6931167602 ,107.52
132.6933476002 ,59.9867
132.6935784402 ,112.36
132.6938092802 ,92.8267
132.6940401202 ,75.96
132.6942709602 ,94.88
132.6945018002 ,117.3867
132.6947326402 ,97.4533
132.6949634802 ,93.16
132.6951943202 ,107.8667
132.6954251602 ,115.8
132.6956560002 ,113.2533
132.6958868402 ,91.56
132.6961176802 ,105.72
132.6963485202 ,133.12
132.6965793602 ,105.5867
132.6968102002 ,89
132.6970410402 ,130.6267
132.6972718802 ,168.88
132.6975027202 ,138
132.6977335602 ,77.92
132.6979644002 ,70.5467
132.6981952402 ,103.16
132.6984260802 ,117.1467
132.6986569202 ,172.2933
132.6988877602 ,174.0133
132.6991186002 ,126.5333
132.6993494402 ,104.8933
132.6995802802 ,95.1067
132.6998111202 ,78.1867
132.7000419602 ,66.6533
132.7002728002 ,87.8133
132.7005036402 ,102.9067
132.7007344802 ,93.3467
132.7009653202 ,121.6933
132.7011961602 ,122.0533
132.7014270002 ,104.2267
132.7016578402 ,108.0267
132.7018886802 ,151.44
132.7021195202 ,173.7867
132.7023503602 ,170.12
132.7025812002 ,163.1467
132.7028120402 ,152.5067
132.7030428802 ,143.76
132.7032737202 ,160.5067
132.7035045602 ,139.9467
132.7037354002 ,110.4933
132.7039662402 ,127.2933
132.7041970802 ,146.6133
132.7044279202 ,84.72
132.7046587602 ,59.2267
132.7048896002 ,87
132.7051204402 ,72.56
132.7053512802 ,56.16
132.7055821202 ,67.96
