Final.depth_m,Grayscale
132.8348525202 ,154.64
132.8350833602 ,148.0133
132.8353142002 ,151.8933
132.8355450402 ,152.92
132.8357758802 ,145.7733
132.8360067202 ,140.5733
132.8362375602 ,126.4533
132.8364684002 ,137.1867
132.8366992402 ,151.4667
132.8369300802 ,144.8
132.8371609202 ,138.56
132.8373917602 ,152.2933
132.8376226002 ,152.7067
132.8378534402 ,149.12
132.8380842802 ,154.9733
132.8383151202 ,156.48
132.8385459602 ,133.72
132.8387768002 ,98.56
132.8390076402 ,86.3867
132.8392384802 ,107.0133
132.8394693202 ,152.5467
132.8397001602 ,94.3467
132.8399310002 ,78.08
132.8401618402 ,142.1333
132.8403926802 ,139.6933
132.8406235202 ,116.56
132.8408543602 ,104.72
132.8410852002 ,98.8133
132.8413160402 ,99.3067
132.8415468802 ,134.72
132.8417777202 ,125.5333
132.8420085602 ,87.3867
132.8422394002 ,65.2667
132.8424702402 ,115.64
132.8427010802 ,164.24
132.8429319202 ,172.52
132.8431627602 ,134.7467
132.8433936002 ,86.1867
132.8436244402 ,85.88
132.8438552802 ,105.64
132.8440861202 ,104.52
132.8443169602 ,81.1333
132.8445478002 ,73.2133
132.8447786402 ,60.8133
132.8450094802 ,60.76
132.8452403202 ,83.28
132.8454711602 ,95.2267
132.8457020002 ,128.3467
132.8459328402 ,159.4933
132.8461636802 ,172.4
132.8463945202 ,163.0667
132.8466253602 ,132.96
132.8468562002 ,106.5067
132.8470870402 ,132.7333
132.8473178802 ,142.4133
132.8475487202 ,125.9867
132.8477795602 ,126.6133
132.8480104002 ,149.6
132.8482412402 ,155.32
132.8484720802 ,167.4267
132.8487029202 ,181.7067
132.8489337602 ,188.16
132.8491646002 ,152.4933
132.8493954402 ,114.28
132.8496262802 ,80.7867
132.8498571202 ,82.1467
132.8500879602 ,78.12
132.8503188002 ,78.1333
132.8505496402 ,83.6667
132.8507804802 ,92.2133
132.8510113202 ,90.3733
132.8512421602 ,112.4267
132.8514730002 ,124.72
132.8517038402 ,123.9467
132.8519346802 ,106.68
132.8521655202 ,87.8267
132.8523963602 ,85.1333
132.8526272002 ,69.36
132.8528580402 ,58.7733
132.8530888802 ,72.6
132.8533197202 ,87.8533
132.8535505602 ,105.68
132.8537814002 ,114.9067
132.8540122402 ,88.9467
132.8542430802 ,80.7333
132.8544739202 ,95.16
132.8547047602 ,110.5733
132.8549356002 ,131.3333
132.8551664402 ,148.1333
132.8553972802 ,158.48
132.8556281202 ,167.0933
132.8558589602 ,158.3467
132.8560898002 ,118.7067
132.8563206402 ,68.32
132.8565514802 ,48.5867
132.8567823202 ,82.3733
132.8570131602 ,112.3067
132.8572440002 ,103.56
132.8574748402 ,73.8133
132.8577056802 ,63.2667
132.8579365202 ,88.3067
132.8581673602 ,153.0667
132.8583982002 ,175.1467
132.8586290402 ,111.12
132.8588598802 ,75.4133
132.8590907202 ,76.3733
132.8593215602 ,85.1067
132.8595524002 ,87.4267
132.8597832402 ,93.9333
132.8600140802 ,110.64
132.8602449202 ,119.88
132.8604757602 ,106.7467
132.8607066002 ,79.36
132.8609374402 ,73.56
132.8611682802 ,82.3067
132.8613991202 ,81.2933
